都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,種別,住所,方書,緯度,経度,アクセス方法,駐車場情報,電話番号,内線番号,FAX番号,法人番号,団体名,認可等年月日,収容定員,受入年齢,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,一時預かりの有無,URL,備考
092088,0107000092,栃木県,小山市,間々田小学童保育クラブ,ママダショウガクドウホイククラブ,放課後児童クラブ,栃木県小山市間々田1421-4,,36.267129,139.763262,,,(0285)45-9250,,,,,,40,小学校１年生,月火水木金土,13:00,19:00,日曜・祝祭日等・年末年始はお休み。,無,,
092088,0107000093,栃木県,小山市,間々田小第二学童保育クラブ,ママダショウダイニガクドウホイククラブ,放課後児童クラブ,栃木県小山市間々田1473-3,,36.270115,139.762835,,,(0285)45-8022,,,,,,40,小学校１年生,月火水木金土,13:00,19:00,日曜・祝祭日等・年末年始はお休み。,無,,
092088,0107000094,栃木県,小山市,間々田小第三学童保育クラブ,ママダショウダイサンガクドウホイククラブ,放課後児童クラブ,栃木県小山市間々田1960-1 ,交流センター内,36.270711,139.761523,,,(0285)41-6231,,,,,,30,小学校１年生,月火水木金土,13:00,19:00,日曜・祝祭日等・年末年始はお休み。,無,,
092088,0107000095,栃木県,小山市,間々田小第四学童保育クラブ,ママダショウダイヨンガクドウホイククラブ,放課後児童クラブ,栃木県小山市間々田1449-1,,36.268898,139.762541,,,(0285)45-9955,,,,,,30,小学校１年生,月火水木金土,13:00,19:00,日曜・祝祭日等・年末年始はお休み。,無,,
092088,0107000096,栃木県,小山市,間々田東小学童保育クラブ,ママダヒガシショウガクドウホイククラブ,放課後児童クラブ,栃木県小山市間々田57-2,,36.257492,139.776793,,,(0285)45-9979,,,,,,40,小学校１年生,月火水木金土,13:00,19:00,日曜・祝祭日等・年末年始はお休み。,無,,
092088,0107000097,栃木県,小山市,間々田東小第二学童保育クラブ,ママダヒガシショウダイニガクドウホイククラブ,放課後児童クラブ,栃木県小山市美しが丘3-16-3,,36.261542,139.776105,,,(0285)45-2600,,,,,,40,小学校１年生,月火水木金土,13:00,19:00,日曜・祝祭日等・年末年始はお休み。,無,,
092088,0107000098,栃木県,小山市,間々田東小第三学童保育クラブ,ママダヒガシショウダイサンガクドウホイククラブ,放課後児童クラブ,栃木県小山市間々田57-2,,36.256564,139.775689,,,(0285)45-3711,,,,,,40,小学校１年生,月火水木金土,13:00,19:00,日曜・祝祭日等・年末年始はお休み。,無,,
092088,0107000099,栃木県,小山市,間々田東小第四学童保育クラブ,ママダヒガシショウダイヨンガクドウホイククラブ,放課後児童クラブ,栃木県小山市間々田57-2,,36.256646,139.775716,,,(0285)41-6214,,,,,,40,小学校１年生,月火水木金土,13:00,19:00,日曜・祝祭日等・年末年始はお休み。,無,,
092088,0107000100,栃木県,小山市,乙女小学童保育クラブ,オトメショウガクドウホイククラブ,放課後児童クラブ,栃木県小山市乙女1343-20,,36.258331,139.752697,,,(0285)45-2962,,,,,,40,小学校１年生,月火水木金土,13:00,19:00,日曜・祝祭日等・年末年始はお休み。,無,,
092088,0107000101,栃木県,小山市,乙女小第二学童保育クラブ,オトメショウダイニガクドウホイククラブ,放課後児童クラブ,栃木県小山市乙女1954,,36.261390,139.749928,,,(0285)41-6282,,,,,,40,小学校１年生,月火水木金土,13:00,19:00,日曜・祝祭日等・年末年始はお休み。,無,,
092088,0107000102,栃木県,小山市,大谷東小学童保育クラブ,オオヤヒガシショウガクドウホイククラブ,放課後児童クラブ,栃木県小山市横倉新田259-8,,36.276545,139.825938,,,(0285)39-7844,,,,,,40,小学校１年生,月火水木金土,13:00,19:00,日曜・祝祭日等・年末年始はお休み。,無,,
092088,0107000103,栃木県,小山市,大谷東小第二学童保育クラブ,オオヤヒガシショウダイニガクドウホイククラブ,放課後児童クラブ,栃木県小山市横倉新田271,,36.279576,139.821738,,,(0285)29-0020,,,,,,40,小学校１年生,月火水木金土,13:00,19:00,日曜・祝祭日等・年末年始はお休み。,無,,
092088,0107000104,栃木県,小山市,大谷東小第三学童保育クラブ,オオヤヒガシショウダイサンガクドウホイククラブ,放課後児童クラブ,栃木県小山市横倉新田271,,36.278336,139.821287,,,(0285)27-8778,,,,,,30,小学校１年生,月火水木金土,13:00,19:00,日曜・祝祭日等・年末年始はお休み。,無,,
092088,0107000105,栃木県,小山市,ひまわり幼稚園学童クラブ,ヒマワリヨウチエンガクドウクラブ,放課後児童クラブ,栃木県小山市横倉新田287-2,,36.280482,139.824792,,,(0285)27-0441,,,,,,30,小学校１年生,月火水木金土,15:00,18:30,日曜・祝祭日等・年末年始はお休み。,有,,
092088,0107000106,栃木県,小山市,ドルフィン学童クラブ,ドルフィンガクドウクラブ,放課後児童クラブ,栃木県小山市雨ケ谷417　,,36.282662,139.811863,,,(0285)27-0209,,,,,,40,小学校１年生,月火水木金土,13:00,19:30,日曜・祝祭日等・年末年始はお休み。,有,,
092088,0107000107,栃木県,小山市,ドルフィン２学童クラブ,ドルフィンツーガクドウクラブ,放課後児童クラブ,栃木県小山市雨ケ谷417　,,36.282662,139.811863,,,(0285)27-0209,,,,,,40,小学校１年生,月火水木金土,13:00,19:30,日曜・祝祭日等・年末年始はお休み。,有,,
092088,0107000108,栃木県,小山市,大谷北小学童保育クラブ,オオヤキタショウガクドウホイククラブ,放課後児童クラブ,栃木県小山市犬塚5-19-10,,36.303848,139.834645,,,(0285)23-5357,,,,,,40,小学校１年生,月火水木金土,13:00,18:00,日曜・祝祭日等・年末年始はお休み。,有,,
092088,0107000109,栃木県,小山市,大谷北小第二学童保育クラブ,オオヤキタショウダイニガクドウホイククラブ,放課後児童クラブ,栃木県小山市犬塚5-6-12,,36.306061,139.833867,,,(0285)24-2509,,,,,,40,小学校１年生,月火水木金土,13:00,18:30,日曜・祝祭日等・年末年始はお休み。,有,,
092088,0107000110,栃木県,小山市,大谷北小ひだまり学童保育クラブ,オオヤキタショウヒダマリガクドウホイククラブ,放課後児童クラブ,栃木県小山市犬塚8-6-2,パセオ・７・ベージュ　103号,36.302159,139.832388,,,(0285)37-9836,,,,,,30,小学校１年生,月火水木金土,13:00,18:30,日曜・祝祭日等・年末年始はお休み。,無,,
092088,0107000111,栃木県,小山市,楠エンゼル幼稚園学童保育クラブ,クスノキエンゼルヨウチエンガクドウホイククラブ,放課後児童クラブ,栃木県小山市犬塚3-14-2,,36.312432,139.831667,,,(0285)23-6870,,,,,,25,小学校１年生,月火水木金土,13:00,18:00,日曜・祝祭日等・年末年始はお休み。,無,,
092088,0107000112,栃木県,小山市,静林幼稚園学童クラブ,セイリンヨウチエンガクドウクラブ,放課後児童クラブ,栃木県小山市喜沢199,,36.335918,139.817529,,,(0285)22-1792,,,,,,30,小学校１年生,月火水木金,14:00,19:00,土曜・日曜・祝祭日等・年末年始はお休み。,有,,
092088,0107000113,栃木県,小山市,青い鳥,アオイトリ,放課後児童クラブ,栃木県小山市出井1931-1,,36.336077,139.836225,,,(0285)25-2815,,,,,,40,小学校１年生,月火水木金土,13:00,19:00,日曜・祝祭日等・年末年始はお休み。,有,,
092088,0107000114,栃木県,小山市,せいほう学童クラブ,セイホウガクドウクラブ,放課後児童クラブ,栃木県小山市中久喜1221-1,,36.316889,139.837844,,,(0285)22-3618,,,,,,30,小学校１年生,月火水木金,14:00,18:00,土曜・日曜・祝祭日等・年末年始はお休み。,有,,
092088,0107000115,栃木県,小山市,羽川小学童クラブ,ハネカワショウガクドウクラブ,放課後児童クラブ,栃木県小山市羽川125,,36.354422,139.827310,,,(0285)23-1076,,,,,,40,小学校１年生,月火水木金土,13:00,20:00,日曜・祝祭日等・年末年始はお休み。,有,,
092088,0107000116,栃木県,小山市,羽川小第二学童クラブ,ハネカワショウダイニガクドウクラブ,放課後児童クラブ,栃木県小山市羽川139-2,,36.353166,139.828653,,,(0285)23-1660,,,,,,30,小学校１年生,月火水木金土,13:00,19:00,日曜・祝祭日等・年末年始はお休み。,有,,
092088,0107000117,栃木県,小山市,羽川小さくら学童保育クラブ　　　,ハネカワショウサクラガクドウホイククラブ,放課後児童クラブ,栃木県小山市羽川456-4　,,36.362026,139.832762,,,(0285)23-7068,,,,,,30,小学校１年生,月火水木金土,13:00,20:00,日曜・祝祭日等・年末年始はお休み。,無,,
092088,0107000118,栃木県,小山市,羽川小さくら第二学童保育クラブ　　　,ハネカワショウサクラダイニガクドウホイククラブ,放課後児童クラブ,栃木県小山市羽川433-1,,36.362026,139.832762,,,(0285)39-8841,,,,,,40,小学校１年生,月火水木金土,13:00,20:00,日曜・祝祭日等・年末年始はお休み。,無,,
092088,0107000119,栃木県,小山市,はねかわ太陽学童クラブ,ハネカワタイヨウガクドウクラブ,放課後児童クラブ,栃木県小山市羽川190-7,,36.355027,139.824858,,,(0285)25-4794,,,,,,40,小学校１年生,月火水木金土,14:00,18:00,日曜・祝祭日等・年末年始はお休み。,有,,
092088,0107000120,栃木県,小山市,羽川西小学童クラブ,ハネカワニシショウガクドウクラブ,放課後児童クラブ,栃木県小山市黒本771-2,,36.357123,139.809004,,,(0285)22-9080,,,,,,30,小学校１年生,月火水木金土,13:00,19:00,日曜・祝祭日等・年末年始はお休み。,有,,
092088,0107000121,栃木県,小山市,豊田学童クラブ,トヨダガクドウクラブ,放課後児童クラブ,栃木県小山市大本478,,36.356099,139.787247,,,080-6510-3469,,,,,,40,小学校１年生,月火水木金,13:00,18:00,土曜・日曜・祝祭日等・年末年始はお休み。,有,,
092088,0107000122,栃木県,小山市,絹義務教育学校学童保育クラブ　,キヌギムキョウイクガッコウガクドウホイククラブ,放課後児童クラブ,栃木県小山市福良1144,,36.330790,139.895023,,,(0285)49-3108,,,,,,40,小学校１年生,月火水木金土,13:00,19:00,日曜・祝祭日等・年末年始はお休み。,無,,
092088,0107000123,栃木県,小山市,駅南児童センター,エキミナミジドウセンター,児童館,栃木県小山市駅南町2-11-5,,36.302710,139.805660,,,(0285)27-0594,,,,,,,0歳から,火水木金土日,09:30,18:00,月曜・祝祭日等・年末年始はお休み,無,,
092088,0107000124,栃木県,小山市,城北児童センター,ジョウホクジドウセンター,児童館,栃木県小山市駅東通り3-25-2,,36.321571,139.814503,,,(0285)24-0629,,,,,,,0歳から,火水木金土日,09:30,18:00,月曜・祝祭日等・年末年始はお休み,無,,
